barcode,name,manufacturld,description,unitQty,Quantity,bIsWeighted,QtyInPackage,ItemPrice,AmountInStock
7290000365046,כתף בקר מעושן במשקל,529,כתף בקר מעושן,קילוגרמים,0,1,0,98,99
7290000365398,חזה הודו בדבש במשקל,529,חזה הודו בדבש,קילוגרמים,0,1,0,85,47
7290000365909,"פסטרמה הודו מעושנת ק""ג",529,פסטרמה הודו מעוש,קילוגרמים,0,1,0,85,38
7290000365954,פסטרמה על גחלים משקל,529,פסטרמה על גחלי,קילוגרמים,0,1,0,85,51
7290000367590,פסטרמה כפרית+סלמי 400*2ג,523,צמד כפרי נקניקים,גרמים,800,0,0,26.9,40
7290000377445,חטיפי נאש צ'אנס קלויים,174,נאש צ'אנס,גרמים,200,0,0,8.9,47
7290000379104,לחם פרוס אחיד 750גר 207,642,לחם אחיד פרוס,גרמים,750,0,0,6.9,18
7290000396439,עגבניה שרי מידיפלם,964,שרי מידיפלם,גרמים,460,0,0,9.9,48
7290000408316,יוגורט ביו 3% דנונה 200ג,1023,יוגורט ביו 3%,גרמים,200,0,0,3.7,85
7290000408354,דנונה בר פצפוצים 173 גרם,1023,דנונה בר פצפוצים,גרמים,173,0,0,4.6,83
7290000412481,"מנקה אסלות ""00"" 1 ליטר",812,"מנקה אסלות 00""",ליטרים,1,0,0,7.9,61
7290000416021,ממרח בטעם שוקולד 500גר,465,ממרח השחר,גרמים,500,0,0,10,55
7290000416045,ממרח בטעם שוקולד השחר1קג,465,ממרח השחר,קילוגרמים,1,0,0,21.9,94
7290000416618,"ממרח טעם שוקולד בד""ץ400ג",464,ממרח בטעם שוקולד,גרמים,400,0,0,10,4
7290000416922,ממרח חלב 350 גרם,465,ממרח חלב,גרמים,350,0,1,10,40
7290000419107,קפה שחור לנדוור 100 גרם,981,קפה שחור לנדוור,גרמים,100,0,0,8.5,86
7290000419893,קפה לנדור לבוקר טחון100ג,981,קפה שחור לבוקר,גרמים,100,0,0,8.5,12
7290000420325,גרע.תירס טבעי-מיקרו100*5,915,פופקורן למיקרו,גרמים,500,0,0,10,0
7290000420332,פופקורן חמאה מיקרו100*5ג,915,פופקורן למיקרו,גרמים,500,0,0,10,68
7290000420417,גלילונית+שרוך60י 65*52סמ,313,גלילונית עם שרוך,יחידה,1,0,0,17.9,39
7290000432359,נר שבועי,,נר שבועי,יחידה,1,0,0,11,92
7290000432687,נרות שבת,,נרות שבת,יחידה,1,0,0,4.5,43
7290000433684,פפסי קולה 1.5 ליטר,532,פפסי קולה,ליטרים,1.5,0,0,5.4,41
7290000433714,סבן אפ 1.5 ליטר,531,סבן אפ,ליטרים,1.5,0,0,5.5,76
7290000433745,מירינדה 1.5 ליטר,532,מירינדה תפוזים,ליטרים,1.5,0,0,5.5,58
7290000433899,דיאט סבן אפ 1.5 ליטר,530,דיאט סבן אפ,ליטרים,1.5,0,0,5.5,60
7290000433974,פפסי מקס 1.5 ליטר,532,פפסי מקס,ליטרים,1.5,0,0,6,28
7290000442044,"פמינה חמוציות 220 מ""ל",94,פמינה חמוציות,מיליליטרים,220,0,0,23.9,58
7290000446547,חמאת בוטנים,,חמאת בוטנים,גרמים,350,0,0,12.9,10
