PriceUpdateDate;ItemCode;ItemType;ItemName;ManufacturerName;ManufactureCountry;ManufacturerItemDescription;UnitQty;Quantity;bIsWeighted;UnitOfMeasure;QtyInPackage;ItemPrice;UnitOfMeasurePrice;AllowDiscount;ItemStatus
2018-05-01 06:13;7290107280389;1;מתז ג'ט לאמבט;;IL;מתז ג'ט לאמבט;מיליליטרים;750.00;0;"100 מ""ל";0;14.90;1.99;1;1
2020-07-28 09:14;7290107280396;1;מתז ג'ט למטבח;;IL;מתז ג'ט למטבח;מיליליטרים;750.00;0;"100 מ""ל";0;11.90;1.59;1;1
2021-02-28 11:30;7290107280518;1;מקסימה ג'אוול 8קג;סנו;IL;מקסימה ג'אוול;קילוגרמים;8.00;0;"ק""ג";0;54.90;6.86;1;1
2018-04-10 07:06;7290107280570;1;ג'ל כביסה;;IL;ג'ל כביסה;ליטרים;3.00;0;ליטר;0;29.60;9.87;1;1
2018-04-10 07:06;7290107280600;1;ספארק טבליות למדיח 100יח;גרופה אינקו;PL;ספארק טב' למדיח;יחידה;1.00;0;יחידה;1;59.90;59.90;1;1
2021-03-04 19:30;7290107280655;1;מקסימה בייבי;;IL;מקסימה בייבי;קילוגרמים;3.25;0;"ק""ג";0;29.90;9.20;1;1
2021-02-28 11:40;7290107280709;1;ספארק נוזל הברקה 700מל;---;IL;נוזל הברקה למדיח;מיליליטרים;700.00;0;"100 מ""ל";1;14.80;2.11;1;1
2019-07-15 14:00;7290107280716;1;"ספארק מלח למדיח 2 ק""ג";סנו;IL;ספארק מלח למדיח;קילוגרמים;2.00;0;"ק""ג";1;10.90;5.45;1;1
2019-01-22 07:26;7290107280723;1;נוזל לכלים לימון 700מל;סנו;IL;נוזל לכלים לימון;מיליליטרים;700.00;0;"100 מ""ל";0;9.90;1.41;1;1
2019-01-22 07:26;7290107280747;1;"נוזל לכלים קלאסי 700מ""ל";סנו;IL;נוזל לכלים קלאסי;מיליליטרים;700.00;0;"100 מ""ל";0;9.90;1.41;1;1
2021-03-01 06:50;7290107280761;1;ספארק לימון+משאבה 1ל;סנו מפעלי ברונוס בעמ;IL;נוזל כלים לימון;ליטרים;1.00;0;ליטר;0;10.00;10.00;1;1
2018-01-30 06:59;7290107280822;1;ריצפז פרש הום ספא 2 ליטר;"סנו מפעלי ברונוס בע""\מ";IL;ריצפז פרש הום;ליטרים;2.00;0;ליטר;0;19.90;9.95;1;1
2021-03-01 16:30;7290107645584;1;מרק עוף אמיתי ר.טבעים400;יוניליוור ישראל מזון בע\;IL;מרק עוף אמיתי;גרמים;400.00;0;100 גרם;1;19.90;4.98;1;1
2021-03-01 16:30;7290107646062;1;מרק בצל רכיבים טבעיים400;יוניליוור ישראל מזון בע\;IL;מרק בצל;גרמים;400.00;0;100 גרם;1;18.90;4.73;1;1
2018-04-24 07:16;7290107646154;1;חטיפי קוקומן פצפוצ 21*6ג;יוניליוור ישראל מזון בעמ;IL;חטיפי קוקומן 6יח;גרמים;126.00;0;100 גרם;1;12.90;10.24;1;1
2021-03-01 16:30;7290107646925;1;ברנפלקס אקסטרה פייבר410ג;יוניליוור ישראל מזון בע\;IL;ברנפלקס אקסטרה;גרמים;410.00;0;100 גרם;1;19.90;4.85;1;1
2021-02-28 08:50;7290107647656;1;מאגדת מיני סולרו קוקוס א;"גלידת שטראוס בע""\מ";IL;מאגדת מיני סולרו;גרמים;245.00;0;100 גרם;1;21.90;8.94;1;1
2019-11-19 08:35;7290107647731;1;קוקומן חום לבן 375 גרם;יוניליוור ישראל מזון בעמ;IL;קוקומן חום לבן;גרמים;375.00;0;100 גרם;1;19.90;5.31;1;1
2020-07-28 09:13;7290107647748;1;שוגי פיצי 500 גרם;יוניליוור ישראל מזון בעמ;IL;שוגי פיצי;גרמים;500.00;0;100 גרם;1;19.90;3.98;1;1
2020-07-28 08:52;7290107647816;1;"ברנפלקס ללת""ס 500 גרם";יוניליוור ישראל מזון בעמ;IL;"ברנפלקס ללת""ס";גרמים;500.00;0;100 גרם;1;23.90;4.78;1;1
2021-03-02 16:30;7290107647823;1;ברנפלקס תלמה 500 גרם;יוניליוור ישראל מזון בעמ;IL;ברנפלקס תלמה;גרמים;500.00;0;100 גרם;1;19.90;3.98;1;1
2020-07-28 09:13;7290107647854;1;שוגי 500 גרם;יוניליוור ישראל מזון בעמ;IL;שוגי;גרמים;500.00;0;100 גרם;1;19.90;3.98;1;1
2018-12-21 01:33;7290107649100;1;בייגלה טבעות+שומשום300ג;בייגל את בייגל מזון 198);IL;בייגלה טבעות;גרמים;300.00;0;100 גרם;1;10.40;3.47;1;1
2020-02-25 10:12;7290107649605;1;שוק.קליק קורנפל+פיצפוצ85;יוניליוור ישראל מזון בעמ;IL;שוקולד קליק;גרמים;85.00;0;100 גרם;1;5.90;6.94;1;1
2018-02-20 07:20;7290107871990;1;פסטה צינורות 500 גרם;פסטה זארה;IT;פסטה צינורות;גרמים;500.00;0;100 גרם;0;5.90;1.18;1;1
2017-02-07 16:32;7290107875271;1;ביסלי ברביקיו 55*4 גרם;"אסם השקעות בע""\מ";IL;ביסלי ברביקיו4יח;גרמים;220.00;0;100 גרם;1;12.50;5.68;1;1
2021-02-28 08:50;7290107875400;1;להקרמריה פיסטוק מוקה 1.4;גלידות נסטלה;IL;להקרמריה;ליטרים;1.40;0;ליטר;0;19.90;14.22;1;1
2016-04-26 09:58;7290107877619;1;במבה מילוי קרם נוגט30*5ג;"אסם השקעות בע""\מ";IL;במבה נוגט 5 יח;גרמים;150.00;0;100 גרם;1;13.90;9.27;1;1
2016-12-20 10:17;7290107879132;1;מיני פריכיות שוק.פיטנס22;CA;IL;פריכיות פיטנס;גרמים;22.00;0;100 גרם;1;5.00;22.73;1;1
2019-07-24 11:23;7290107879521;1;מאגדת לה פרוטה תות 5יח;גלידות נסטלה )נגה גלידות;IL;מאגדת לה פרוטה;גרמים;350.00;0;100 גרם;1;22.90;6.54;1;1
2019-07-24 11:23;7290107879569;1;מאגדת לה פרוטה מנגו 5יח;גלידות נסטלה )נגה גלידות;IL;מאגדת לה פרוטה;גרמים;350.00;0;100 גרם;1;22.90;6.54;1;1
2017-02-07 14:17;7290107932080;1;חלב מועשר3% בקבוק 1ליטר;מחלבת יטבתה;IL;חלב מועשר 3%;ליטרים;1.00;0;ליטר;1;7.70;7.70;1;1
2017-02-07 14:17;7290107932134;1;חלב מועשר1% בקבוק 1ליטר;מחלבת יטבתה;IL;חלב מועשר 1%;ליטרים;1.00;0;ליטר;1;7.70;7.70;1;1
2017-02-07 14:17;7290107933315;1;חלב דל לקטוז בקבוק2% 1ל;מחלבת יטבתה;IL;חלבדל לקטוז 2%;ליטרים;1.00;0;ליטר;1;7.70;7.70;1;1
2021-03-01 04:10;7290107935999;1;עד חצות חלב קרמל 190 גרם;"שטראוס גרופ בע""\מ";IL;עד חצות;גרמים;190.00;0;100 גרם;1;10.00;5.26;1;1
